연령,직종,학교급,평균,중위값,p25,p75,count
28,직원,중학교,790695.7142857143,199135.0,160540.0,304550.0,14
28,직원,특수학교,462626.6666666667,531980.0,384305.0,575625.0,3
29,교원,고등학교,815841.3513513514,560840.0,343800.0,873320.0,37
29,교원,대학교,1122879.3617021276,412390.0,262960.0,724735.0,47
29,교원,유치원,1235828.120423108,412530.0,208300.0,2483260.0,6145
29,교원,전문대학,286411.8181818182,293920.0,163985.0,397195.0,11
29,교원,중학교,1535873.3333333333,159310.0,152820.0,2230645.0,3
29,교원,초등학교,1169333.3333333333,584770.0,410340.0,769600.0,15
29,교원,특수학교,1347495.0,495445.0,325032.5,1517907.5,4
29,직원,고등학교,886052.5,413965.0,171082.5,694762.5,20
29,직원,대학교,1842736.8514851485,912150.0,427560.0,1579360.0,6565
29,직원,법인,574402.8571428572,591100.0,381255.0,791250.0,7
29,직원,유치원,611330.1111111111,234160.0,116760.0,466380.0,90
29,직원,전문대학,518522.7631578947,282530.0,175815.0,483260.0,76
29,직원,중학교,737250.0,268315.0,162857.5,569492.5,8
29,직원,초등학교,245395.0,245395.0,200382.5,290407.5,2
29,직원,특수학교,352161.25,226180.0,188830.0,373795.0,8
30,교원,고등학교,1042204.2592592592,420245.0,231527.5,795382.5,54
30,교원,대학교,1237173.6607142857,409480.0,246042.5,753397.5,112
30,교원,유치원,1421246.9260179698,438310.0,219615.0,2783350.0,5231
30,교원,전문대학,813147.1428571428,430440.0,194685.0,619680.0,7
30,교원,중학교,1679288.1818181819,683250.0,426240.0,2325835.0,11
30,교원,초등학교,932318.75,637295.0,412030.0,931480.0,16
30,교원,특수학교,5086730.0,5086730.0,5086730.0,5086730.0,1
30,직원,고등학교,824685.0,457985.0,269795.0,617655.0,24
30,직원,대학교,2882740.9618824823,1267970.0,609480.0,5350335.0,7267
30,직원,법인,1475973.75,390740.0,313322.5,659407.5,8
30,직원,유치원,748929.4845360825,292900.0,151660.0,533730.0,97
30,직원,전문대학,772763.9534883721,346685.0,226215.0,580365.0,86
30,직원,중학교,499885.0,235675.0,166600.0,306552.5,20
30,직원,초등학교,263170.0,263170.0,263170.0,263170.0,1
30,직원,특수학교,2374680.0,2374680.0,1293220.0,3456140.0,2
31,교원,고등학교,1578702.2448979593,659000.0,325240.0,2426620.0,49
31,교원,대학교,2045624.5033112583,482870.0,297585.0,4570765.0,151
31,교원,유치원,1610033.5048963788,459820.0,226610.0,3027215.0,4391
31,교원,전문대학,480310.55555555556,240250.0,153070.0,446977.5,18
31,교원,중학교,2478587.5,1909170.0,377645.0,3860212.5,12
31,교원,초등학교,2554786.4285714286,718100.0,272057.5,4945150.0,14
31,교원,특수학교,3410186.25,3991375.0,938560.0,5310107.5,8
31,직원,고등학교,1349800.0,337900.0,256780.0,675792.5,24
31,직원,대학교,3208717.0089068827,1387910.0,634865.0,5718710.0,6175
31,직원,법인,1438366.0,1026165.0,710967.5,1177367.5,10
31,직원,유치원,696169.6296296297,235550.0,128482.5,520260.0,108
31,직원,전문대학,1209089.0909090908,425355.0,262092.5,639530.0,88
31,직원,중학교,1080486.6666666667,529800.0,458990.0,665810.0,9
31,직원,초등학교,3318025.0,3318025.0,1845007.5,4791042.5,2
31,직원,특수학교,2856818.0,4120760.0,693300.0,4616730.0,5
32,교원,고등학교,2751810.277777778,1130735.0,639897.5,4637567.5,36
32,교원,대학교,1950143.9795918367,544605.0,324900.0,1110660.0,196
32,교원,유치원,1937480.237536657,488865.0,218652.5,3329370.0,3410
32,교원,전문대학,557157.8571428572,449275.0,241580.0,629445.0,28
32,교원,중학교,3517411.6666666665,4235450.0,518530.0,5502622.5,12
32,교원,초등학교,2267881.8181818184,710920.0,430525.0,4671535.0,11
32,교원,특수학교,4419534.285714285,4186590.0,845645.0,6821225.0,7
32,직원,고등학교,1463219.142857143,500260.0,247690.0,1675960.0,35
32,직원,대학교,3388294.1829937305,1339025.0,603185.0,5937000.0,5104
32,직원,법인,1857728.5714285714,672500.0,480662.5,3464137.5,14
32,직원,유치원,793700.8653846154,277990.0,140200.0,511957.5,104
32,직원,전문대학,1342211.375,476865.0,240802.5,1359327.5,80
32,직원,중학교,1359554.4444444445,570490.0,257030.0,2769960.0,9
32,직원,초등학교,1499585.0,405145.0,229670.0,1675060.0,4
32,직원,특수학교,2034790.0,581480.0,313010.0,3018640.0,5
33,교원,고등학교,1794793.7333333334,546820.0,362120.0,2088895.0,75
33,교원,대학교,1951596.336996337,538870.0,320420.0,1300160.0,273
33,교원,유치원,2046532.2290076336,475100.0,214675.0,3476115.0,2620
33,교원,전문대학,1222749.4117647058,436670.0,341290.0,763132.5,34
33,교원,중학교,2893355.4545454546,681160.0,362645.0,4507190.0,11
33,교원,초등학교,4383381.25,4417425.0,399482.5,6676942.5,24
33,교원,특수학교,5344843.0,5638500.0,839775.0,7851602.5,10
33,직원,고등학교,1899627.25,531330.0,216625.0,1422572.5,40
33,직원,대학교,3728045.051321249,1323920.0,638220.0,6153815.0,4579
33,직원,법인,3236310.0,2887255.0,522700.0,5358167.5,6
33,직원,유치원,1167392.7956989247,256550.0,139060.0,518360.0,93
33,직원,전문대학,1491956.4197530865,472760.0,270340.0,2566250.0,81
33,직원,중학교,2839736.0,3766250.0,187730.0,5068150.0,15
33,직원,초등학교,4482076.666666667,3469670.0,2136585.0,6321365.0,3
33,직원,특수학교,1857072.5,650295.0,431600.0,3831255.0,8
34,교원,고등학교,3235684.1791044776,2762950.0,444560.0,5449265.0,67
34,교원,대학교,2140419.772079772,635160.0,361390.0,2165465.0,351
34,교원,유치원,2076882.5291647224,433930.0,202620.0,3313575.0,2143
34,교원,전문대학,1073373.137254902,452730.0,320900.0,730525.0,51
34,교원,중학교,3372346.6666666665,1101900.0,902730.0,5868940.0,9
34,교원,초등학교,5482296.666666667,5281885.0,881605.0,7436425.0,18
34,교원,특수학교,5100743.333333333,5823265.0,857155.0,9070255.0,12
34,직원,고등학교,2892272.2580645164,713540.0,368735.0,4380395.0,31
34,직원,대학교,3883365.873411413,1236930.0,625590.0,6181270.0,4013
34,직원,법인,3739033.3333333335,4757490.0,1204780.0,5120200.0,9
34,직원,유치원,1477411.7808219178,225030.0,130390.0,916980.0,73
34,직원,전문대학,1912972.878787879,634980.0,407485.0,3227000.0,66
34,직원,중학교,2311584.117647059,493360.0,319470.0,3337610.0,17
34,직원,초등학교,240565.0,240565.0,216567.5,264562.5,2
34,직원,특수학교,2506290.0,858600.0,638905.0,1868020.0,7
35,교원,고등학교,4254047.288135593,4881400.0,482610.0,6465930.0,59
35,교원,대학교,2456983.7906976743,700725.0,391910.0,2890710.0,430
35,교원,유치원,2073819.6153846155,410130.0,191735.0,3122032.5,1690
35,교원,전문대학,1018565.0684931506,478600.0,290490.0,783780.0,73
35,교원,중학교,2565841.4285714286,1183590.0,933700.0,4579650.0,7
35,교원,초등학교,4799566.923076923,4447500.0,487900.0,6749990.0,13
35,교원,특수학교,4899082.142857143,4553765.0,1291990.0,6735350.0,14
35,직원,고등학교,4100066.111111111,3326765.0,598877.5,6506897.5,36
35,직원,대학교,3981077.686734949,1182870.0,631970.0,6003390.0,4003
35,직원,법인,2935225.0,832235.0,551387.5,5760322.5,12
35,직원,유치원,1112588.8636363635,206570.0,113750.0,641672.5,88
35,직원,전문대학,3002170.7526881723,2235920.0,311870.0,4501530.0,93
35,직원,중학교,3340321.1764705884,952400.0,579680.0,3485860.0,17
35,직원,초등학교,3437580.0,4047210.0,2131230.0,5048745.0,3
35,직원,특수학교,2391553.3333333335,279965.0,184530.0,395507.5,6
36,교원,고등학교,5339703.571428572,5106635.0,985157.5,7638405.0,84
36,교원,대학교,2597773.73253493,752120.0,378670.0,3308390.0,501
36,교원,유치원,2245078.691135734,394230.0,182515.0,3078950.0,1444
36,교원,전문대학,1366170.8333333333,412935.0,296650.0,847350.0,72
36,교원,중학교,7825211.25,8187845.0,3907412.5,11417617.5,24
36,교원,초등학교,5408776.111111111,5735615.0,746287.5,7905525.0,18
36,교원,특수학교,6328326.428571428,6635475.0,2114697.5,8526912.5,14
36,직원,고등학교,2650805.8974358975,793130.0,454630.0,4269010.0,39
36,직원,대학교,4336041.756717712,1294480.0,674860.0,6565890.0,3461
36,직원,법인,5696240.833333333,6472930.0,1369317.5,7280947.5,12
36,직원,유치원,1190896.3934426229,226545.0,133390.0,1438787.5,122
36,직원,전문대학,3960937.654320988,2271080.0,512970.0,6938490.0,81
36,직원,중학교,3697573.75,449535.0,397410.0,2585622.5,8
36,직원,초등학교,6876080.0,6876080.0,6876080.0,6876080.0,1
36,직원,특수학교,7530225.0,4679400.0,3001795.0,12934835.0,6
37,교원,고등학교,5872627.2727272725,5511670.0,997980.0,8779350.0,77
37,교원,대학교,2812484.845173042,955590.0,438640.0,3350840.0,549
37,교원,유치원,2184851.344,398930.0,192545.0,2868690.0,1250
37,교원,전문대학,1462180.752688172,537650.0,308600.0,2667350.0,93
37,교원,중학교,6197598.571428572,6401050.0,2996760.0,11042020.0,21
37,교원,초등학교,5471466.363636363,1020130.0,601745.0,8136300.0,11
37,교원,특수학교,7485739.090909091,6243530.0,2711860.0,13201985.0,11
37,직원,고등학교,5746957.428571428,4148670.0,416870.0,11233145.0,35
37,직원,대학교,4673784.382949467,1380960.0,697900.0,6623300.0,2909
37,직원,법인,8460608.0,5768790.0,990810.0,10714840.0,5
37,직원,유치원,963645.4700854701,242660.0,118620.0,508280.0,117
37,직원,전문대학,3973436.533333333,3255410.0,353205.0,5716760.0,75
37,직원,중학교,4523943.333333333,4192340.0,2217500.0,6664585.0,3
37,직원,초등학교,5443556.666666667,3467090.0,2154605.0,7744275.0,3
37,직원,특수학교,4239505.0,3820130.0,472305.0,6779980.0,6
38,교원,고등학교,7617440.625,6602345.0,3501497.5,11452207.5,80
38,교원,대학교,3238706.1726384363,989330.0,479575.0,4152430.0,614
38,교원,유치원,2379733.2186948853,382980.0,176570.0,2912827.5,1134
38,교원,전문대학,1413234.7706422019,504260.0,286650.0,1063280.0,109
38,교원,중학교,10138943.57142857,12774220.0,6671052.5,14064310.0,14
38,교원,초등학교,6992972.857142857,5864790.0,4212430.0,10070800.0,21
38,교원,특수학교,9658672.142857144,10545650.0,478922.5,15666430.0,14
38,직원,고등학교,6382710.625,6387075.0,639575.0,10541207.5,32
38,직원,대학교,5365345.460869566,1531715.0,730330.0,7366720.0,2300
38,직원,법인,6608392.0,3695835.0,1242012.5,10456795.0,10
38,직원,유치원,1268600.303030303,271140.0,132850.0,508735.0,99
38,직원,전문대학,5488277.222222222,4400650.0,713240.0,6415740.0,54
38,직원,중학교,4181148.1818181816,4032500.0,1000230.0,6289865.0,11
38,직원,초등학교,1122173.3333333333,565450.0,402475.0,1563510.0,3
38,직원,특수학교,5916961.666666667,4556640.0,1506580.0,7506320.0,6
39,교원,고등학교,9559047.631578946,9648630.0,4502977.5,14246097.5,76
39,교원,대학교,4220082.8965517245,1069955.0,479987.5,5608627.5,580
39,교원,유치원,2264268.83902439,362300.0,176970.0,2798250.0,1025
39,교원,전문대학,1550881.2,472930.0,316967.5,2973222.5,100
39,교원,중학교,9470456.8,9870640.0,5122670.0,13973830.0,25
39,교원,초등학교,10892379.285714285,11111730.0,2399377.5,17571282.5,14
39,교원,특수학교,13114406.42857143,14465030.0,8923600.0,18632910.0,14
39,직원,고등학교,7426835.12195122,6150430.0,1218430.0,12245320.0,41
39,직원,대학교,6636554.4334112145,2053390.0,708775.0,9912362.5,1712
39,직원,법인,3694544.0,994880.0,366180.0,7630895.0,15
39,직원,유치원,1354404.496124031,220950.0,135390.0,384440.0,129
39,직원,전문대학,5364925.423728813,4291390.0,540070.0,7173680.0,59
39,직원,중학교,4853751.818181818,5311540.0,2052495.0,6268820.0,11
39,직원,초등학교,1438700.0,211710.0,171780.0,2092125.0,3
39,직원,특수학교,10082396.666666666,8056710.0,655150.0,19041890.0,9
40,교원,고등학교,10378279.0,9363955.0,5253077.5,15379810.0,90
40,교원,대학교,4723499.84375,1369675.0,540650.0,6270540.0,576
40,교원,유치원,2302282.2707889127,369310.0,169557.5,2828830.0,938
40,교원,전문대학,2031128.2170542635,496060.0,302810.0,2761250.0,129
40,교원,중학교,14477196.57142857,15327660.0,8211250.0,19667540.0,35
40,교원,초등학교,11851992.307692308,11952460.0,8439620.0,16727000.0,13
40,교원,특수학교,13779876.666666666,17829000.0,4337747.5,21104097.5,6
40,직원,고등학교,9380200.0,9576960.0,3404220.0,13106730.0,33
40,직원,대학교,8246457.819494585,3883950.0,870900.0,13034560.0,1385
40,직원,법인,7532335.0,7028270.0,3540297.5,11020307.5,4
40,직원,유치원,752973.3333333334,197325.0,114425.0,451035.0,108
40,직원,전문대학,8612304.647887323,6700110.0,823445.0,13221730.0,71
40,직원,중학교,6171816.363636363,4010610.0,615125.0,10979780.0,11
40,직원,초등학교,14868950.0,12021460.0,8922575.0,19391580.0,3
40,직원,특수학교,11520198.57142857,5854500.0,5045270.0,19975745.0,7
41,교원,고등학교,11689608.936170213,10987355.0,6758065.0,16214225.0,94
41,교원,대학교,5166771.975088968,1458420.0,555280.0,7721377.5,562
41,교원,유치원,2282150.289672544,363870.0,176645.0,2894885.0,794
41,교원,전문대학,2849527.4637681157,702825.0,336772.5,4013242.5,138
41,교원,중학교,14111949.47368421,16361390.0,8711635.0,19736487.5,38
41,교원,초등학교,9422137.692307692,7042720.0,1081770.0,13859510.0,13
41,교원,특수학교,8188828.888888889,5521840.0,3858190.0,15909600.0,9
41,직원,고등학교,13150186.363636363,9771540.0,4216370.0,18175520.0,33
41,직원,대학교,9030817.280858677,5024720.0,939107.5,15376902.5,1118
41,직원,법인,9061128.333333334,8068080.0,4005105.0,10557960.0,6
41,직원,유치원,1260553.1578947369,193835.0,116377.5,504137.5,114
41,직원,전문대학,7642302.857142857,6269410.0,511275.0,10938470.0,63
41,직원,중학교,7108246.25,3560630.0,642060.0,13257872.5,8
41,직원,초등학교,25719410.0,25719410.0,25719410.0,25719410.0,1
41,직원,특수학교,12098967.5,10874480.0,8412097.5,14561350.0,4
42,교원,고등학교,12765103.47826087,12228635.0,7083412.5,17091252.5,92
42,교원,대학교,5903593.181818182,1441045.0,519137.5,7835852.5,594
42,교원,유치원,2433415.0407608696,364245.0,183485.0,2661160.0,736
42,교원,전문대학,2701045.6923076925,663350.0,310410.0,3969960.0,130
42,교원,중학교,15807635.0,15667275.0,9240095.0,22376835.0,40
42,교원,초등학교,10655961.0,10357610.0,794872.5,16653902.5,10
42,교원,특수학교,17225008.888888888,19139310.0,8416310.0,27038540.0,9
42,직원,고등학교,10752208.863636363,8193400.0,628992.5,14769340.0,44
42,직원,대학교,11653377.6,6203675.0,888067.5,20345637.5,900
42,직원,법인,6512701.428571428,6850530.0,224130.0,8877065.0,7
42,직원,유치원,967934.8571428572,194285.0,109275.0,392397.5,140
42,직원,전문대학,11281855.616438355,9118810.0,3318090.0,15333550.0,73
42,직원,중학교,9075291.42857143,8318340.0,2567670.0,12482175.0,7
42,직원,초등학교,9692120.0,14270480.0,7298790.0,14374630.0,3
42,직원,특수학교,13222082.727272727,8363030.0,4214755.0,20880435.0,11
43,교원,고등학교,15443703.372093024,14212735.0,7195197.5,22533517.5,86
43,교원,대학교,6758410.297202798,1665400.0,567767.5,9600497.5,572
43,교원,유치원,2879389.665327979,396870.0,192405.0,3432730.0,747
43,교원,전문대학,3278943.98089172,663680.0,330810.0,5073180.0,157
43,교원,중학교,20261126.53846154,22447700.0,11806155.0,26983277.5,26
43,교원,초등학교,9335441.666666666,9953725.0,2738987.5,11524570.0,6
43,교원,특수학교,21078340.0,23879980.0,17473620.0,26060835.0,7
43,직원,고등학교,11966270.833333334,9351225.0,3339632.5,15195925.0,24
43,직원,대학교,14416854.00510204,9356395.0,1148132.5,23355485.0,784
43,직원,법인,6577773.333333333,1102875.0,610827.5,5146442.5,6
43,직원,유치원,726977.1328671329,169390.0,106205.0,304850.0,143
43,직원,전문대학,14411488.57142857,10306545.0,1109490.0,24387945.0,56
43,직원,중학교,8505235.0,5312000.0,676315.0,15835560.0,8
43,직원,초등학교,13467236.0,11532560.0,6183750.0,17792690.0,5
43,직원,특수학교,4761198.571428572,4485210.0,577825.0,8094675.0,7
44,교원,고등학교,18445422.592592593,16959340.0,10220500.0,25975210.0,81
44,교원,대학교,7651188.104906937,2828690.0,604300.0,11201430.0,591
44,교원,유치원,2693880.6574923545,371570.0,186235.0,3034570.0,654
44,교원,전문대학,4569956.136363637,788330.0,383682.5,5403592.5,176
44,교원,중학교,20783757.0,20463040.0,13502277.5,29636232.5,40
44,교원,초등학교,19015405.0,18625565.0,6437532.5,30435842.5,12
44,교원,특수학교,16384700.0,14267665.0,10324050.0,18435892.5,8
44,직원,고등학교,14765605.3125,12926805.0,4734305.0,22193095.0,32
44,직원,대학교,15516441.792717086,9669070.0,1178380.0,27280852.5,714
44,직원,법인,6805482.5,2060700.0,372700.0,12745272.5,8
44,직원,유치원,1650704.081632653,206260.0,118885.0,933105.0,147
44,직원,전문대학,18028670.677966103,20152680.0,5500195.0,25278015.0,59
44,직원,중학교,15211582.222222222,12333100.0,6688620.0,19012910.0,9
44,직원,초등학교,16535816.666666666,546770.0,446555.0,24630555.0,3
44,직원,특수학교,6421897.5,6544300.0,4663482.5,8302715.0,4
45,교원,고등학교,20174793.92156863,19600700.0,10350207.5,29129245.0,102
45,교원,대학교,8087710.737410072,2923570.0,576215.0,11192662.5,556
45,교원,유치원,3895240.2891156464,409950.0,174627.5,4013767.5,588
45,교원,전문대학,3382123.05,799490.0,328770.0,5126305.0,200
45,교원,중학교,24342441.85185185,27163650.0,11496515.0,36359675.0,27
45,교원,초등학교,21063757.777777776,17024160.0,12231870.0,26937400.0,9
45,교원,특수학교,34293511.25,33709850.0,28895992.5,42669250.0,8
45,직원,고등학교,18294319.210526317,19005870.0,5647937.5,28136345.0,38
45,직원,대학교,17661514.602649007,11414690.0,1319810.0,30679222.5,604
45,직원,법인,9466558.333333334,7869780.0,5300090.0,11064032.5,6
45,직원,유치원,1035293.3333333334,196130.0,123852.5,353950.0,192
45,직원,전문대학,19257758.13559322,19180200.0,5770710.0,26212155.0,59
45,직원,중학교,14539915.714285715,7969035.0,6506430.0,22596007.5,14
45,직원,초등학교,9267405.0,9687795.0,5976935.0,12978265.0,4
45,직원,특수학교,6594928.888888889,6712280.0,732040.0,10677880.0,9
46,교원,고등학교,24336262.525252525,23974890.0,13365325.0,32589025.0,99
46,교원,대학교,8826579.777975133,3587200.0,540880.0,11817470.0,563
46,교원,유치원,2739298.61682243,404920.0,183775.0,3120430.0,535
46,교원,전문대학,4280744.666666667,692230.0,372400.0,5351260.0,165
46,교원,중학교,27445340.588235293,30696160.0,17105670.0,38297192.5,34
46,교원,초등학교,27083573.333333332,28976515.0,28482792.5,31346227.5,6
46,교원,특수학교,29363160.769230768,29683550.0,7666080.0,45400710.0,13
46,직원,고등학교,11196482.727272727,8454080.0,594300.0,18258350.0,33
46,직원,대학교,21039150.193321615,15835980.0,1352380.0,40013740.0,569
46,직원,법인,13872343.75,12918425.0,6388297.5,19382277.5,8
46,직원,유치원,1156105.8252427184,248305.0,119292.5,538870.0,206
46,직원,전문대학,22915571.57894737,22560180.0,9203520.0,33424670.0,57
46,직원,중학교,10345882.0,1266120.0,902860.0,18750857.5,10
46,직원,초등학교,10314996.666666666,5578280.0,3315505.0,14946130.0,3
46,직원,특수학교,8249872.5,7686675.0,2817765.0,13118782.5,4
47,교원,고등학교,27392618.795180723,27628510.0,14967335.0,39397235.0,83
47,교원,대학교,9320312.284569139,4348410.0,662385.0,12912530.0,499
47,교원,유치원,4081591.5196998124,500790.0,205100.0,4543160.0,533
47,교원,전문대학,5620250.05882353,1039220.0,382692.5,7648545.0,170
47,교원,중학교,31853536.20689655,30760870.0,23766860.0,45092410.0,29
47,교원,초등학교,18493082.777777776,19983705.0,717562.5,29643995.0,18
47,교원,특수학교,29075503.75,27741425.0,23293857.5,39242387.5,8
47,직원,고등학교,16042918.095238095,11351415.0,4456062.5,21988650.0,42
47,직원,대학교,24529974.522417154,21122590.0,2663470.0,43855880.0,513
47,직원,법인,8402067.857142856,942545.0,372090.0,9687137.5,14
47,직원,유치원,919827.7027027027,207025.0,129902.5,418012.5,222
47,직원,전문대학,20975855.757575758,20869540.0,7384660.0,33245335.0,66
47,직원,중학교,22358508.125,20629500.0,13154407.5,30593317.5,16
47,직원,초등학교,15850493.333333334,12164130.0,6204350.0,23653455.0,3
47,직원,특수학교,16927947.272727273,12647970.0,412560.0,31167065.0,11
48,교원,고등학교,27244665.505617976,25680370.0,12244940.0,42908810.0,89
48,교원,대학교,11901333.282149712,5407230.0,598480.0,16853580.0,521
48,교원,유치원,3981983.2577319588,514510.0,211420.0,3799240.0,485
48,교원,전문대학,6469386.963350785,922720.0,369100.0,7436555.0,191
48,교원,중학교,38281122.61904762,42488385.0,28048890.0,48503837.5,42
48,교원,초등학교,18070380.833333332,13057455.0,3272062.5,27213052.5,12
48,교원,특수학교,35998132.0,40819995.0,28012807.5,44342360.0,20
48,직원,고등학교,21460055.23809524,18630210.0,4725465.0,33834400.0,42
48,직원,대학교,26287008.788209606,21119455.0,3500450.0,46444795.0,458
48,직원,법인,14139976.0,694520.0,564400.0,6718580.0,5
48,직원,유치원,1712084.142857143,256280.0,158800.0,821530.0,245
48,직원,전문대학,24727921.96969697,25115085.0,3084472.5,40717707.5,66
48,직원,중학교,18063736.0,14467750.0,5368422.5,32368282.5,20
48,직원,초등학교,19677067.5,9643685.0,5386047.5,23934705.0,4
48,직원,특수학교,18645703.333333332,7210115.0,1205912.5,37518292.5,6
49,교원,고등학교,35536871.428571425,36181260.0,17011555.0,48177835.0,119
49,교원,대학교,12441305.36016949,5061460.0,651277.5,21215672.5,472
49,교원,법인,17720560.0,17720560.0,17720560.0,17720560.0,1
49,교원,유치원,3761419.609053498,471820.0,199472.5,4281370.0,486
49,교원,전문대학,7532040.546448087,3455050.0,406155.0,10871690.0,183
49,교원,중학교,40002864.6875,43355305.0,33112947.5,48843692.5,32
49,교원,초등학교,37222270.0,47108470.0,23936335.0,55451305.0,3
49,교원,특수학교,40135740.0,49239000.0,28313500.0,51945675.0,15
