연령,직종,학교급,평균,중위값,p25,p75,count
97,직원,고등학교,24122602.5,24228120.0,19696620.0,28234680.0,8
97,직원,대학교,21058933.333333332,26318640.0,18412760.0,26334960.0,3
98,교원,고등학교,24078746.315789472,25116360.0,20766960.0,26819100.0,19
98,교원,대학교,30455379.6875,34544760.0,20863662.5,40731390.0,32
98,교원,전문대학,23361046.666666668,26310000.0,18636250.0,29560320.0,3
98,교원,중학교,26570361.17647059,26663880.0,24628200.0,29253480.0,17
98,직원,고등학교,22754965.0,26430840.0,20740855.0,28444950.0,4
98,직원,대학교,27660840.0,27660840.0,27660840.0,27660840.0,1
99,교원,고등학교,22544171.42857143,24375300.0,18299590.0,27108000.0,14
99,교원,대학교,27667584.0,31628160.0,8553302.5,42216780.0,20
99,교원,전문대학,4494620.0,4494620.0,4494620.0,4494620.0,1
99,교원,중학교,28413816.0,28234920.0,25273140.0,29645280.0,10
99,직원,고등학교,22360700.0,26430840.0,15417990.0,31338480.0,3
99,직원,대학교,28656600.0,28656600.0,28656600.0,28656600.0,1
100,교원,고등학교,23132411.25,24375300.0,16948935.0,26417760.0,8
100,교원,대학교,32026054.444444444,34882440.0,32467560.0,41333040.0,9
100,교원,중학교,27434272.85714286,27450240.0,25180740.0,31778940.0,7
100,직원,고등학교,32056920.0,32056920.0,29309940.0,34803900.0,2
101,교원,고등학교,14395910.0,14395910.0,9218205.0,19573615.0,2
101,교원,대학교,27280035.0,30287460.0,20700435.0,36867060.0,4
101,교원,중학교,30440664.0,28438440.0,26663880.0,34487280.0,5
101,직원,고등학교,27226920.0,27226920.0,27226920.0,27226920.0,1
102,교원,고등학교,2114170.0,2114170.0,2114170.0,2114170.0,1
102,교원,대학교,23371200.0,23371200.0,23371200.0,23371200.0,1
102,교원,중학교,31887240.0,31934940.0,26996910.0,36825270.0,4
102,직원,고등학교,23846200.0,23846200.0,23846200.0,23846200.0,1
103,교원,중학교,22306913.333333332,25744200.0,16249550.0,30082920.0,3
104,교원,중학교,2254760.0,2254760.0,2254760.0,2254760.0,1
